[00000c0c] 05/08/2016@03:31:10  Starting AmInstantService v8.42.30 ActiveMARK[R] R8.42
[00000c48] 05/08/2016@03:31:11  GamesController::prioritize() -> 1
[000013f0] 05/08/2016@03:31:11  AmInstant::Play (cid=0e8b9cbf213b605f5beef2d4a851b831, atoken=a684dd572b1887661782981659331eed) -> 0
[00000c48] 05/08/2016@03:31:12  GamesController::prioritize() -> 1
[00000afc] 05/08/2016@03:31:12  AmInstant::install (url=http://games-dl.gamehouse.com/gamehouse/pc/h/hoyle-official-card-games-collection/hoyle-official-card-games-collection.rfs, cid=0e8b9cbf213b605f5beef2d4a851b831, title=Hoyle Official Card Games Collection, tracking=-1_72620eca-41a7-42fa-9288-887b84c1d2c3) -> 1
[00000c34] 05/08/2016@03:31:12  AmInstantDownload -> http://profiler-cdn.am.gamehouse.com/gamehouse/pc/h/hoyle-official-card-games-collection/hoyle-official-card-games-collection.rfs.0.rfsindex downloaded correctly (cid=0e8b9cbf213b605f5beef2d4a851b831)
[00000c34] 05/08/2016@03:31:13  AmInstantDownload -> histogram created (cid=0e8b9cbf213b605f5beef2d4a851b831, starttime=0 seconds, bandwidth=0 b/s)
[00000c48] 05/08/2016@03:31:13  Download::resume (cid=0e8b9cbf213b605f5beef2d4a851b831) -> 1
[00000c48] 05/08/2016@03:31:13  GamesController::prioritize() -> 1
[00000c48] 05/08/2016@03:31:13  Download::resume (cid=0e8b9cbf213b605f5beef2d4a851b831) -> 1
[00000c48] 05/08/2016@03:31:13  GamesController::prioritize() -> 1
[00000c48] 05/08/2016@03:31:28  Download::resume (cid=0e8b9cbf213b605f5beef2d4a851b831) -> 1
[00000c48] 05/08/2016@03:31:28  GamesController::prioritize() -> 1
[00000c48] 05/08/2016@03:31:43  Download::resume (cid=0e8b9cbf213b605f5beef2d4a851b831) -> 1
[00000c48] 05/08/2016@03:31:43  GamesController::prioritize() -> 1
[00000c48] 05/08/2016@03:31:58  Download::resume (cid=0e8b9cbf213b605f5beef2d4a851b831) -> 1
[00000c48] 05/08/2016@03:31:58  GamesController::prioritize() -> 1
[00000c48] 05/08/2016@03:32:13  Download::resume (cid=0e8b9cbf213b605f5beef2d4a851b831) -> 1
[00000c48] 05/08/2016@03:32:13  GamesController::prioritize() -> 1
[00000c48] 05/08/2016@03:32:28  Download::resume (cid=0e8b9cbf213b605f5beef2d4a851b831) -> 1
[00000c48] 05/08/2016@03:32:28  GamesController::prioritize() -> 1
[00000c48] 05/08/2016@03:32:43  Download::resume (cid=0e8b9cbf213b605f5beef2d4a851b831) -> 1
[00000c48] 05/08/2016@03:32:43  GamesController::prioritize() -> 1
[00000c48] 05/08/2016@03:32:58  Download::resume (cid=0e8b9cbf213b605f5beef2d4a851b831) -> 1
[00000c48] 05/08/2016@03:32:58  GamesController::prioritize() -> 1
[00000c48] 05/08/2016@03:33:13  Download::resume (cid=0e8b9cbf213b605f5beef2d4a851b831) -> 1
[00000c48] 05/08/2016@03:33:13  GamesController::prioritize() -> 1
[00000c48] 05/08/2016@03:33:29  Download::resume (cid=0e8b9cbf213b605f5beef2d4a851b831) -> 1
